feature,importance
primer_enc,0.13769713
frac_mixed_pos,0.064042985
sec_ratio_mean,0.053927284
q2_sec_mean,0.052729532
sec_ratio_p75,0.036448907
n_basecalls,0.03371178
q1_sec_mean,0.028989356
align2score,0.028045837
signal_std,0.026690561
sec_ratio_p90,0.023814157
signal_max,0.022377016
q3_sec_mean,0.022072693
align1score,0.019868251
readable_p90,0.019792335
coverage_len,0.018673459
q3_std,0.018406745
read_length_frac,0.018240483
n_mixed_pos,0.017673926
late_max_ratio,0.017475383
qual_mean,0.01733475
signal_mean,0.016261972
read_end,0.016194118
readable_cv,0.015845861
baseline_T,0.015814384
allele1frac,0.015647214
q1_std,0.015571792
q3_mean,0.0154825235
readable_p10,0.015377314
coverage_frac,0.015115062
dropoff_pos,0.014803786
q1_mean,0.014692865
baseline,0.014592971
q2_mean,0.014194878
readable_range,0.0141410325
signal_cv,0.013931183
allele2frac,0.01369487
q2_std,0.013672609
qual_below40_frac,0.01362121
early_max_ratio,0.012825446
qual_p10,0.012171635
qual_below20_frac,0.011737276
sec_ratio_max,0.009386406
baseline_A,0.0072110295
read_start,0.0
baseline_G,0.0
baseline_C,0.0
